axis_id,threshold_method,ert_threshold,silhouette,balance,coherence,n_I,n_II,n_III,n_IV,n_total,n_empty_quads,has_all_quads,composite
sd__species_znorm,otsu,0.1358998325513574,0.48896344516616785,0.9043837883887023,1,22,20,5,10,57,0,TRUE,0.7972331529053344
sd__species_znorm,gmm,0.1390215303794488,0.48896344516616785,0.9043837883887023,1,22,20,5,10,57,0,TRUE,0.7972331529053344
cv_x_negmean__product_species_znorm,otsu,-0.13599175562468915,0.48893630400335697,0.9043837883887023,1,20,22,10,5,57,0,TRUE,0.7972236534983504
cv_x_negmean__product_species_znorm,gmm,-0.13918025106010667,0.48893630400335697,0.9043837883887023,1,20,22,10,5,57,0,TRUE,0.7972236534983504
sd__species_znorm,mean,-3.311191476952221e-17,0.48663760164985437,0.9043837883887023,1,20,22,5,10,57,0,TRUE,0.7964191076746245
cv_x_negmean__product_species_znorm,mean,1.0907454277019081e-16,0.48659825414950963,0.9043837883887023,1,22,20,10,5,57,0,TRUE,0.7964053360495039
gini_x_abscma__product_species_znorm,median,-0.10664566464263307,0.48201665317302905,0.9095007284679221,1,23,19,9,6,57,0,TRUE,0.7960810107275407
neg_mean__species_site_znorm,gmm,-0.1024728155554474,0.4923458039446201,0.8942425547865971,1,21,21,11,4,57,0,TRUE,0.7958816700772663
mean__species_site_znorm,gmm,0.10266535990025849,0.4923458039446201,0.8942425547865971,1,21,21,4,11,57,0,TRUE,0.7958816700772663
PC3__pca_raw,gmm,-0.30162847559175326,0.48202381909266123,0.9064726381299401,1,18,24,9,6,57,0,TRUE,0.7953264962149164
gini_x_absradgrad__product_species_znorm,otsu,0.126231483680306,0.4865330457299749,0.900103628783497,1,26,16,8,7,57,0,TRUE,0.7953124732013654
cma__lutz_species_site,mean,-0.010002429685324424,0.4794252243923747,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.7952670221989927
